Card_Holder_Name,Card_Number,CVV,Expiry_Date,City
Ossie Kain,3.46E+14,6894,25-Jul,Northcote
Leon G Buchanan,3.48E+14,4999,29-Jun,Noble Park
Reinaldo Simmons,4.64E+15,312,30-Jun,Newcastle
Dennis Mercer,3.01E+13,45,23-Dec,Nerang
Teressa M Flemming,4.45E+15,705,23-Dec,Narre Warren
Sylvia D Patel,4.52E+15,203,26-May,Narangba
Adelaida D Barksdale,5.49E+15,345,19-Jun,Mulgrave
Anita Blevins,6.01E+15,235,12-Sep,Mount Martha
Dwana E Cogan,5.17E+15,468,26-Sep,Mount Gambier
Mildred Holmes,5.22E+15,50,13-Oct,Mount Eliza
Alane K Beeson,4.99E+15,452,Jul-36,Mosman
Alfred Solomon,3.78E+14,2902,11-Feb,Mornington
Cherie Mendiola,3.58E+15,3,14-Mar,Morayfield
Shirley G Berg,4.75E+15,761,26-Mar,Moe
Geraldo R Groh,6.01E+15,433,24-Feb,Mill Park
Michael O Villarreal,3.01E+13,284,29-Apr,Mildura
Gaylord Y Brockman,5.25E+15,944,27-Mar,Melton
John P Mathews,3.71E+14,4778,23-Oct,Melbourne
Gabriel D Siu,3.43E+14,7512,29-Dec,Maryborough
Teresa Nichols,6.01E+15,478,14-Sep,Marrickville
Leslee N Heller,5.14E+15,790,19-Feb,Maroubra
Adam R Horne,3.02E+13,215,Oct-34,Maitland
Frances Brunson,6.59E+15,723,21-Jun,Mackay
Yolanda Z Coffey,3.03E+13,345,18-May,Liverpool
Van Haber,3.71E+14,5649,29-Jan,Lismore
Stanley K Everett,6.01E+15,517,Feb-30,Lilydale
Ivory M Wrenn,3.56E+15,510,18-Nov,Launceston
Donna W Mcdonald,6.01E+15,940,18-Apr,Lara
Alverta K Waggoner,6.01E+15,762,12-Aug,Langwarrin
Edna E Wall,3.06E+13,432,23-Oct,Lalor
Luciano C Leggett,6.45E+15,521,27-Jan,Keysborough
Kenneth K Gates,3.54E+15,208,13-Aug,Kew
Lanny V Hampton,5.27E+15,434,26-Sep,Katoomba
Mark L Barrera,3.54E+15,727,21-Mar,Hornsby
Rosana Y Stevenson,6.01E+15,970,15-Jun,Hobart
Diane J Bennett,4.26E+15,706,26-Jul,Hawthorn South
Laurence D Head,6.01E+15,915,18-Feb,Hampton Park
Ashley N Pacheco,3.05E+13,717,30-May,Griffith
Ashley Cota,3.47E+14,4010,22-Apr,Greensborough
Cynthia Hebert,3.53E+15,982,10-Jul,Granville
Arlene H Omeara,3.02E+13,956,30-Jul,Goulburn
Veronica E Albert,6.54E+15,119,18-Dec,Gold Coast
Joya E Caskey,3.54E+15,395,20-Dec,Glenroy
Grace U Duke,3.57E+15,597,20-Jun,Glenferrie
Mitzie D Peck,5.25E+15,191,20-Jul,Gladstone
Daniel D Monroe,3.44E+14,7488,27-Sep,Geelong
Deandre Swinney,4.25E+15,953,Jun-37,Frankston East
Tommy A Wilson,6.01E+15,717,17-Dec,Frankston
Aurelio Mcgovern,3.02E+13,334,20-Jul,Forster
Patrick P Callahan,3.47E+14,4928,19-Oct,Essendon
Fernanda Mumford,3.71E+14,7759,20-Oct,Epping
Victoria Wright,4.76E+15,242,Sep-31,Epping
Jamey N Pendley,4.37E+15,822,18-Jan,Engadine
Luis W Farley,5.40E+15,852,16-Jul,Eltham
Melony Kemper,3.40E+14,1963,12-Sep,Echuca
Amy L Berger,3.54E+15,972,Sep-34,Earlwood
Emogene F Childress,4.47E+15,686,17-Jul,Dubbo
Oscar P Byers,6.23E+15,355,20-Jul,Doncaster East
Mikel F Grasso,3.47E+14,4421,17-May,Doncaster
Dolores Bowen,4.58E+15,319,20-Jan,Devonport
Minh Witcher,5.46E+15,996,Jun-31,Deer Park
Jeanette P Richardson,3.86E+13,704,21-Aug,Deception Bay
Clark J Holifield,3.44E+14,4835,20-Oct,Dandenong
Tracy H Ward,6.01E+15,125,18-Oct,Cronulla
Genie T Oberg,3.66E+13,132,18-Oct,Cranbourne
Derrick S Schmidt,5.16E+15,858,18-Sep,Cranbourne
Galen A Sikora,3.54E+15,608,14-Mar,Craigieburn
Carmen Foley,5.35E+15,368,26-Nov,Coffs Harbour
Karrie Montiel,3.59E+15,496,23-Jan,Coburg
Shane Holland,3.55E+15,465,25-Feb,Clayton
Soila U Hershey,4.06E+15,205,16-Sep,Wollongong
Loretta C Marquez,3.53E+15,280,9-Jun,Cessnock
Yoko S Swinson,5.40E+15,811,28-Jul,Castle Hill
Vivian Frank,4.48E+15,981,18-Feb,Carrum Downs
Tracy D Rawlings,3.06E+13,511,15-Nov,Carnegie
Cathy J Forbes,3.54E+15,489,24-Oct,Carlingford
Matt K Kinzer,6.01E+15,208,20-May,Caringbah
Kim K Barr,6.01E+15,76,23-Jun,Canberra
Hector Q Lenz,3.05E+13,224,13-Sep,Camberwell
Carlos A Lyons,5.19E+15,618,12-Dec,Caloundra
Merlin J Mcneill,3.72E+14,5775,26-Jul,Cairns
Brandon G Gilmore,4.56E+15,350,26-May,Caboolture
Rudy Cowell,3.45E+14,9810,25-Mar,Burnie
Vernon D Rosa,3.71E+14,9382,10-Nov,Bundaberg
Kurtis Tice,5.21E+15,481,24-Aug,Buderim
Tony Y Shepherd,5.45E+15,23,24-Mar,Brunswick
Ricarda E Golden,3.04E+13,937,14-Jul,Broken Hill
Jacob Cochran,4.42E+15,998,30-Sep,Brisbane
Raymundo L Neal,3.58E+15,887,15-Jun,Boronia
Mary Finley,3.48E+14,2938,22-Apr,Blacktown
Phoebe W Maes,4.01E+15,585,12-Sep,Berwick
Robert Medina,4.88E+15,714,8-Sep,Bendigo
Garth T Sierra,6.01E+15,168,14-Apr,Baulkham Hills
Zachary D Melendez,4.50E+15,446,23-Apr,Bathurst
Courtney Camp,3.06E+13,73,19-Feb,Banora Point
Derek L Cole,5.37E+15,196,14-Jul,Bankstown
Laurice O Gaskin,4.19E+15,426,15-Apr,Ballarat
Helen K Maddox,5.23E+15,771,23-Jul,Auburn
Hans U Bowles,4.21E+15,269,17-May,Ashfield
Terry S Baxter,6.01E+15,865,12-Nov,Armidale
Tracy U Hacker,3.74E+14,8526,Jun-31,Albury
Calvin L Patrick,6.22E+15,132,Dec-33,South Brisbane
Arnold Y Lawyer,3.02E+13,712,20-Sep,Cheltenham
Derrick Avila,4.23E+15,484,21-Oct,Randwick
Carylon Deane,3.71E+14,9339,22-Mar,Dee Why
Jimmy D Cruz,3.09E+13,482,27-Nov,Umina
Linwood R Rigsby,5.18E+15,225,20-Jan,Palmerston
Diana U Gamble,4.83E+15,287,21-Dec,Bracken Ridge
Lupe J Peterkin,5.24E+15,300,28-Aug,North Ryde
Margaret T Luna,5.23E+15,574,26-Jul,Hoppers Crossing
Rose X Earp,3.56E+15,840,17-Jan,Logan City
Christine H Lloyd,3.58E+15,183,16-Sep,Carindale
Garrett N Mckibben,4.98E+15,332,28-Aug,Parramatta
Nicholas O Patrick,3.58E+15,530,12-Feb,Ferntree Gully
Queen M Perkins,6.01E+15,957,Oct-33,City of Parramatta
Alvin Y Conley,3.00E+13,86,17-Apr,Adelaide Hills
Anjanette Z Hafner,4.72E+15,861,21-Aug,Canning Vale
Jeffrey C Cross,4.84E+15,38,31-Dec,Glenmore Park
Miquel C Horowitz,4.96E+15,701,11-Jan,Glen Iris
Phyllis T Whitfield,3.03E+13,657,28-Feb,Balwyn North
Janyce Pipkin,5.27E+15,644,25-Jan,Malvern East
Pedro Y Lopez,3.55E+15,145,24-Feb,Brighton East
Camila C Cole,3.58E+15,942,22-Jul,Booval
Leonard Z Hodges,3.06E+13,164,26-Feb,St Albans
Guillermo M Wilcher,3.10E+13,755,22-Dec,Endeavour Hills
Grace R Brooks,4.02E+15,662,Dec-36,Taylors Lakes
Mitsue V Kelleher,3.56E+15,362,28-Dec,Roxburgh Park
Melanie J Byrd,3.42E+14,9141,Mar-33,Wyndham Vale
Laverne U Cordes,3.75E+14,5161,30-Jun,Willetton
Calvin B Kelley,6.01E+15,907,27-Jun,Thornlie
Lindsey Marion,3.54E+15,380,12-Aug,Hillside
Sharon L Cervantes,5.36E+15,867,28-Sep,Bundoora
Kasie Jimerson,3.56E+15,375,10-Apr,Forest Lake
Jennifer P Glass,6.46E+15,749,27-Dec,Sunnybank Hills
Otelia Allgood,3.55E+15,584,17-Jun,Narre Warren South
Elizabeth English,6.23E+15,30,Mar-34,Dandenong North
Oscar S Garden,5.40E+15,636,15-Aug,Frankston South
Clyde P Ware,6.01E+15,298,28-Feb,Sunshine West
Ernie B Tracey,3.70E+14,5499,Jan-33,Altona Meadows
Alma Q King,3.50E+14,5538,27-Dec,West Pennant
Lloyd Revell,3.58E+15,121,13-Jan,Oranjestad
Alicia Lara,4.14E+15,362,8-Apr,Mariehamn
Norman Teran,6.45E+15,483,13-Jul,Xankandi
Brandon K Henry,5.23E+15,163,26-Sep,®hmƒªdbƒªyli
Rolland Yarber,3.49E+14,2425,15-Jan,Shushi
Jason Z Contreras,5.46E+15,799,25-Nov,Salyan
Von Covey,3.57E+15,958,Mar-33,Saatl€±
Susan P Britt,3.55E+15,261,16-Dec,NeftÌ¤ala
Cleo X Light,6.01E+15,439,29-Dec,Nakhchivan
Samantha D Russell,6.01E+15,732,22-Jan,Lankaran
Josue X Beane,6.01E+15,608,27-Apr,Imishli
Jill O Chaney,3.03E+13,204,27-Feb,Fizuli
Norris W Lockwood,3.56E+15,70,19-Oct,Dzhalilabad
Gordon Hess,4.30E+15,318,23-Aug,Pushkino
Brent K Silvey,5.46E+15,177,25-Jun,Beylagan
Jane L Kim,5.21E+15,234,19-Jun,Astara
Eliseo Carbajal,3.59E+15,517,19-Mar,_irvan
Erin Z Quinn,6.45E+15,645,20-Nov,A€Ùdam
Un D Carey,6.22E+15,684,19-Jul,Zaqatala
Travis H Jimenez,3.74E+14,3286,15-May,Zabrat
Elroy Coil,3.56E+15,664,30-Aug,Yevlakh
Sherry A Buck,3.77E+14,3649,16-Mar,Yelenendorf
Abbie M Witten,4.57E+15,640,30-May,XaÌ¤maz
Joyce Holden,3.50E+14,8580,29-Mar,Ujar
Sunni A Hibbard,3.01E+13,693,18-May,Terter
Miguel W Russo,3.70E+14,5310,19-May,Sumqay€±t
Enoch K Hake,3.46E+14,2066,18-Jan,QaraÌ¤uxur
Ramon Huber,3.76E+14,5100,18-Jan,Shamkhor
Thao Wojcik,3.00E+13,683,16-May,Shamakhi
Joanne K Mcmillan,6.23E+15,860,19-Jun,Sheki
Josphine Bakker,4.59E+15,519,14-Apr,SabunÌ¤u
Anna V Graves,5.48E+15,419,13-Oct,Sabirabad
Johnson E Stacey,6.23E+15,134,21-Aug,Qusar
Alfred Gregory,3.48E+14,459,25-Dec,Quba
Kendall H Amundson,3.05E+13,355,27-Mar,Hac€±qabul
Joshua V Mcpherson,5.38E+15,145,16-Jun,Qazax
Bill B Martine,6.23E+15,750,22-Feb,Hac€± Zeynalabdin
Curtis Alvarez,6.01E+15,681,Apr-34,Mingelchaur
Maple T Pinero,3.59E+15,256,Jan-34,MaÙta€Ùa
Timothy V Avila,3.54E+15,443,22-Oct,Mardakan
Angle N Camire,5.38E+15,699,Jun-33,LÌ¦kbatan
Jonathan S Norris,4.73E+15,38,27-Aug,Kyurdarmir
Roseanne Morrell,3.02E+13,688,16-Jun,Khirdalan
Erin J Parks,4.26E+15,895,9-Jun,Yeni Suraxan€±
Ayanna N Sedillo,6.01E+15,162,8-Nov,Geoktschai
Catherine Guzman,3.73E+14,8306,28-Sep,HÌ¦vsan
Refugio P Franz,3.59E+15,139,19-Jan,Ganja
Alan X Charles,4.31E+15,730,Jun-33,Divichibazar
Geraldo Cullen,3.54E+15,260,12-Dec,Buzovna
Ethel Singleton,3.73E+14,2373,17-Apr,Biny Selo
Bernetta U Rush,4.43E+15,901,Nov-31,Barda
Joel Barron,3.79E+14,2540,Jun-32,Bilajari
Elanor R Easton,3.47E+14,3701,11-Apr,Baku
Darlene P Burnett,4.90E+15,289,18-Jun,Amirdzhan
Summer K Lasalle,4.23E+15,723,17-May,Aghsu
Holly Langley,3.48E+14,4142,10-Apr,A€ÙdaÙ
Colin P Hersh,4.98E+15,350,18-Jun,Agdzhabedy
Juan Wagner,4.44E+15,286,Jul-34,Bak€±xanov
Gertrudis Z Loy,3.44E+14,2349,22-Jul,Zenica
Harold T Tillman,6.22E+15,684,24-Nov,Visoko
Delcie C Burress,5.39E+15,33,18-Sep,Velika KladuÁa
Gilbert D Stuart,6.58E+15,198,20-Sep,Tuzla
Kisha Jenkins,5.25E+15,881,Jul-32,Trebinje
Alma B Solis,4.05E+15,418,20-May,Travnik
Juliane Alex,6.22E+15,379,19-Jan,Sarajevo
Florence Allen,6.01E+15,949,28-Sep,Prijedor
Donald K Gray,4.16E+15,591,19-Mar,Mostar
Doris J Lott,6.01E+15,586,Apr-34,Grada€ac
Travis Mauney,3.56E+15,131,19-Apr,Gra€anica
Ida Bolton,5.16E+15,939,13-Feb,Gora_de
Demarcus Blackburn,6.01E+15,128,16-Oct,Doboj
Megan O Nicholson,4.56E+15,884,23-Sep,Cazin
Olen Hine,3.58E+15,538,17-Dec,Bugojno
Roberta X Parker,3.41E+14,4558,21-Jan,Br€ko
Elliot Boudreaux,6.01E+15,209,13-Aug,Bosanska Krupa
Warren I Robertson,3.43E+14,2946,22-May,Bijeljina
Jarrett X Holladay,5.13E+15,617,14-Oct,Biha€à
Joanne Cline,4.03E+15,365,26-Dec,Banja Luka
Lien D Southard,3.73E+14,9864,25-Dec,Konjic
Ronald T Santiago,3.73E+14,8937,24-Apr,Bridgetown
Hermina U Pack,3.56E+15,113,19-Jan,Th€kurgaon
Fred T Levy,4.61E+15,43,Jun-33,Tekn€f
Carrol Holmes,5.45E+15,820,24-Jan,Tungi
Gladys Q Bailey,4.78E+15,230,21-Dec,Sylhet
Rey I Troyer,3.04E+13,532,12-Jul,Doh€r
Eddie G Knox,3.56E+15,294,23-Jan,Jam€lpur
Natalya Z Wimberly,3.43E+14,5110,24-Feb,Shibganj
Manuel K Cohen,3.55E+15,135,29-Feb,Shibganj
Lakia Z Freed,6.01E+15,911,20-Jul,S€tkhira
Charlie Newman,3.68E+13,256,12-Jun,Sirajganj
Mickey O Patty,3.85E+13,938,19-Jan,Netrakona
Juanita Larson,3.57E+15,712,23-Jan,Narsingdi
Byron H Speer,3.06E+13,279,13-Dec,Sandw€Çp
Micheal R Farmer,5.11E+15,34,29-Jun,Sh€hz€dpur
Era F Lentz,3.02E+13,14,26-May,R€mganj
Laura Russo,3.05E+13,212,20-Aug,R€jsh€hi
Harris P Lapierre,3.57E+15,842,Apr-34,Pirojpur
Eva Malone,3.58E+15,749,20-Oct,Panchagarh
Timothy D Paulsen,3.05E+13,506,16-Aug,Patiya
Joel I Kemp,6.23E+15,156,31-Oct,Parbatipur
Amparo G Craven,3.45E+14,6474,28-Oct,N€r€yanganj
Jon T Gay,4.34E+15,442,Feb-33,N€lchiti
Grady M Cusack,6.48E+15,260,17-Mar,N€garpur
Gordon Buck,6.23E+15,137,23-Oct,Nageswari
Santiago Voss,6.53E+15,684,12-Apr,Mymensingh
Emily G Cochran,6.01E+15,653,25-May,Mukt€g€cha
Mariano T Kellam,3.01E+13,261,11-Oct,Mirz€pur
Hazel Rollins,4.69E+15,625,20-Jun,Maulavi B€z€r
Stanford D Rosenbaum,3.86E+13,40,29-Sep,Morrelgonj
Norma J Sosa,4.29E+15,651,Feb-33,Mehendiganj
Heriberto R Knepper,3.55E+15,9,Aug-32,Mathba
Holly X Gibbs,4.44E+15,361,Nov-34,Lalmonirhat
Jolynn Garrett,3.72E+14,9863,25-Apr,L€ksh€m
Corey L Vinson,4.62E+15,950,18-Jun,Comilla
Jeromy C Bowens,6.23E+15,986,23-Mar,Rangpur
Charlotte Beard,3.72E+14,562,15-May,Kushtia
Israel U Hardwick,5.24E+15,240,15-Dec,K€l€Çganj
Chris Q Luna,5.27E+15,175,25-Jul,Jhingerg€cha
Jade Boley,6.59E+15,323,31-Mar,Joypur H€t
Walter Luna,3.03E+13,101,19-Jun,Ishurdi
Moshe P Dee,4.56E+15,61,18-May,Habiganj
Suzanne K Alexander,4.71E+15,534,28-Jul,Gaurnadi
Tyisha Correa,3.55E+15,988,25-Sep,Gafargaon
Kim Y Oliver,6.57E+15,81,15-Feb,Feni
Tyrell Z Slavin,3.54E+15,311,Jul-33,R€ipur
Paula S Gray,6.01E+15,228,11-Jun,Sarankhola
Eliz F Pettigrew,3.75E+14,8052,25-May,Dhaka
Allen I Rowe,3.63E+13,651,28-Sep,Chilm€ri
Shaina X Dehaven,3.56E+15,777,20-Jan,Chh€galn€iya
Renee Reyes,3.47E+14,2174,13-May,L€lmohan
Jesse Elliot,5.35E+15,528,11-Jul,Khagrachhari
Emily Howe,4.30E+15,349,16-Jun,Chh€tak
Herb Antonelli,3.03E+13,774,20-Feb,Bh€tp€ra Abhaynagar
Bobby Arnold,5.38E+15,62,20-Nov,Bher€m€ra
Raymon Q Daugherty,3.49E+14,6213,27-Sep,Bhairab B€z€r
Sally F Morgan,4.99E+15,693,16-Dec,B€ndarban
Lala R Prentiss,3.55E+15,647,21-Apr,K€lia
Teresa Rutledge,3.55E+15,997,Jan-34,Baniachang
Clarence U Baum,6.53E+15,528,17-Feb,B€jitpur
Rose H Harris,3.53E+15,260,19-Feb,Bagerhat
Lucien Q Mcdougal,6.01E+15,376,Feb-33,Badarganj
Nicholas Holt,6.01E+15,879,31-Dec,Narail
Jackie M Mcmanus,3.03E+13,876,27-Oct,Tungip€ra
Glen C Underwood,6.52E+15,115,21-Feb,Son€rgaon
Leopoldo Philip,5.18E+15,620,15-Aug,Sarish€b€ri
Brenda Wolf,5.44E+15,519,28-Aug,Sakhipur
Marcel Magee,3.04E+13,28,12-Jun,Raoj€n
Paul G Kramer,5.49E+15,126,Feb-34,Phultala
Ambrose Pass,4.76E+15,614,Sep-33,P€lang
Heather N England,5.19E+15,595,25-Oct,P€r Naogaon
Douglass Teixeira,3.77E+14,5575,16-May,Nab€Çnagar
Alice Blake,4.26E+15,731,14-May,Lakshm€Çpur
Darwin Bergmann,6.01E+15,228,31-Oct,Kesabpur
Victoria Gardner,3.53E+15,261,23-Dec,H€j€Çganj
Lynette W Hedge,3.53E+15,842,Jul-34,Far€Çdpur
Derrick Z Daniel,3.44E+14,3401,21-Jul,Din€jpur
Brooks S Deboer,5.22E+15,920,26-Sep,Uttar Char Fasson
Ruth E Mullins,4.65E+15,382,17-Jul,Chittagong
Leif Doss,3.02E+13,27,27-Feb,Char Bhadr€san
Mario N Sykes,3.55E+15,207,20-May,Bera
Hollis Culp,3.41E+14,2741,16-Apr,Burh€nuddin
Laurie Norman,6.01E+15,642,Sep-32,S€tkania
Wava K Harty,3.57E+15,913,28-Jan,Cox‰Ûªs B€z€r
Ruby O Rodriquez,3.59E+15,56,23-Sep,Khulna
Brigitte R Borowski,3.55E+15,466,15-Jun,Bhola
Erin Hooper,3.57E+15,224,Mar-33,Baris€l
George R Lowe,3.59E+15,141,14-Jan,Jessore
April U Sandoval,5.42E+15,715,29-Feb,P€bna
Hung L Clemmer,3.09E+13,208,13-Nov,T€ng€il
Christina K Coffey,6.23E+15,236,28-Jan,Bogra
Gigi D Wenzel,3.57E+15,393,30-Sep,P€Çrgaaj
Bertha Byrd,5.39E+15,983,13-Nov,Naw€bganj
Vincenzo Brunette,4.86E+15,973,28-May,M€d€r€Çpur
Jerry M Waters,3.80E+14,668,13-Mar,Sherpur
Rashida E Greenfield,4.33E+15,907,12-Dec,Kishorganj
Irene I Gray,3.01E+13,106,10-Jan,Manikchari
Kaylee Cary,5.46E+15,221,30-Oct,Bh€nd€ria
Travis Stokes,5.15E+15,657,22-Mar,Fatikchari
Luke Lusk,6.22E+15,648,26-Oct,Saidpur
Cathy H Baird,6.01E+15,920,16-Sep,Puthia
Leeann F Volk,3.74E+14,3318,26-Mar,Natore
Melissa X Rivera,3.40E+14,6215,29-Jun,Azimpur
Ines T Robson,3.99E+13,716,18-Jan,Paltan
Gary O Burgess,3.71E+14,9348,22-Oct,Joymontop
Elisha Guillen,6.01E+15,884,24-Sep,Zwijndrecht
Suzanne Kidd,6.01E+15,483,Nov-33,Zwevegem
Joe P Crochet,4.60E+15,734,17-Aug,Zottegem
Dale L Sherman,3.02E+13,499,19-Sep,Zonhoven
Norberto C Robeson,3.10E+13,450,27-Oct,Zoersel
Henry F Oconnor,6.01E+15,334,12-Apr,Zemst
Brett V Bergeron,3.54E+15,49,24-Feb,Zele
Derek L Haney,6.60E+15,200,23-Sep,Zedelgem
Tessa F Verduzco,5.34E+15,354,26-Nov,Zaventem
Anne Q Dalton,3.53E+15,864,Dec-37,Wuustwezel
Clementina C Haws,3.73E+14,3763,22-Mar,Willebroek
Kevin Z Alston,3.56E+15,138,17-Dec,Wevelgem
Margareta P Lynn,4.67E+15,745,29-Mar,Wetteren
Richard M Barr,3.44E+14,2061,10-Nov,Westerlo
Oscar U Bonham,3.50E+14,638,18-Sep,Wervik
Elaine T Norman,4.46E+15,787,Apr-36,Wavre
Mohamed B Samuel,5.39E+15,950,24-Oct,Waterloo
Gordon A Mcclure,3.47E+14,8811,21-Sep,Waregem
Rick K Hawks,3.78E+14,3621,27-Aug,Walcourt
Monica D Singleton,6.01E+15,639,Feb-30,VisÌ©
Loretta Y Nick,4.84E+15,43,Sep-35,Vilvoorde
Doris F Best,5.28E+15,10,Jun-31,Verviers
Lovie V Tello,5.27E+15,907,Oct-35,Turnhout
Roger Richmond,4.88E+15,803,18-Jul,Tubize
Wayne M Blakemore,3.05E+13,831,Aug-33,Tournai
Joe P Nieves,3.57E+15,649,16-Apr,Torhout
Shiela Helgeson,4.96E+15,725,28-May,Tongeren
Jesus Jordan,3.41E+14,6198,Jul-34,Tienen
Delisa Mehta,6.01E+15,996,26-Nov,Tielt
Howard M Mclaughlin,6.01E+15,713,26-Mar,Tessenderlo
Marcelo H Nelson,6.50E+15,448,16-Oct,Tervuren
Allen Dalton,6.01E+15,488,28-Sep,Temse
Rickey Chaffee,3.59E+15,951,24-Nov,Stekene
Ray N Sherman,4.89E+15,816,16-Aug,Stabroek
Jerlene Harney,3.09E+13,703,14-Feb,Soumagne
Dawn X Johnston,3.57E+15,712,22-Mar,Soignies
Trinidad H Rockett,6.46E+15,742,17-Mar,Sint-Truiden
Joe A Harrison,5.43E+15,191,16-Jun,Sint-Pieters-Leeuw
Marth Packer,5.42E+15,118,11-Feb,Sint-Niklaas
Dale D Wallace,3.59E+15,727,20-Sep,Sint-Kruis
Jeremiah Rude,3.57E+15,357,19-Jul,Sint-Katelijne-Waver
Curtis H Golden,3.02E+13,211,11-Jun,Sint-Gillis-Waas
Jerrica H Halvorsen,6.22E+15,611,27-Mar,Sint-Genesius-Rode
Sara K Bray,5.23E+15,802,23-Sep,Seraing
Caleb X Nez,6.01E+15,67,19-Oct,Schoten
Russell Ruiz,6.01E+15,964,29-Jun,Schilde
Herman J Grigg,3.59E+15,676,26-Apr,Saint-Nicolas
Andrew W Beasley,3.09E+13,583,22-Jun,Saint-Ghislain
Allene Sherer,4.80E+15,307,Nov-31,Rotselaar
Annette D Hill,4.56E+15,153,26-Mar,Ronse
Samual Doctor,6.22E+15,692,23-Dec,Roeselare
Dawn D Madden,4.79E+15,145,20-May,Rixensart
Lavona M Towery,5.14E+15,477,18-Jul,Riemst
Tony Galloway,6.01E+15,470,21-Jun,Ranst
Malcom M Hornbeck,3.06E+13,496,12-Oct,Quaregnon
Jeanette Good,3.79E+14,3656,Sep-36,Puurs
Damon E Fernandez,3.74E+14,9982,20-Jan,Putte
Dorothy N Carrillo,3.54E+15,468,20-Mar,Poperinge
Roscoe Lillard,3.66E+13,188,23-Apr,Pont-ÌÊ-Celles
Monica R Mckenzie,3.73E+14,401,27-Feb,PÌ©ruwelz
Donnetta C Aguilera,3.46E+14,2431,15-Dec,Peer
Edna L Wallace,4.30E+15,17,22-Oct,Overijse
Gregorio O Geis,3.03E+13,702,19-May,Oupeye
Alma Q Hardin,3.55E+15,517,24-Feb,Oudenaarde
Carlotta V Castano,3.53E+15,441,28-Mar,Oostkamp
Ann Moon,3.58E+15,635,20-Apr,Ostend
Jamaal R Heyward,4.77E+15,464,24-Feb,Nivelles
Edward Mann,5.25E+15,52,18-Jun,Ninove
Dewey I Sutter,4.40E+15,698,28-Apr,Nijlen
Yolanda T Reed,3.55E+15,370,25-Oct,Neerpelt
Deeann S Chance,3.57E+15,258,31-Aug,Namur
Bruce E Sharp,6.44E+15,172,17-Apr,Mouscron
Lakeesha I Nave,5.36E+15,511,23-Feb,Mortsel
Alicia Sargent,6.49E+15,718,19-May,Morlanwelz-Mariemont
Leisa G Nance,3.41E+14,7940,15-Feb,Mons
Mildred Y Waller,3.53E+15,166,20-Jun,Mol
Keshia Y Chen,4.13E+15,732,18-Jun,Middelkerke
Amanda D Ramos,3.87E+13,704,15-Oct,Merelbeke
Mammie L Shults,4.87E+15,910,21-Jun,Menen
Annie U Pena,3.73E+14,2095,14-Aug,Meise
Nydia Mckeehan,4.68E+15,116,28-Feb,Mechelen
Laurie H Patel,4.63E+15,45,17-Oct,Marche-en-Famenne
Roland Q Vannatta,4.09E+15,191,19-Nov,Manage
Richard Raymond,5.11E+15,902,26-Mar,Maldegem
Vivian L Miranda,6.56E+15,397,27-Mar,Maasmechelen
Stephen M Baird,3.45E+14,3264,30-Jan,Maaseik
Terry C Hamlet,6.01E+15,556,17-Sep,Louvain-la-Neuve
Rose G Lawrence,3.89E+13,307,23-May,Londerzeel
Rory Schlueter,4.56E+15,822,11-Nov,Lommel
Juan M Carr,4.30E+15,721,20-Feb,Lokeren
Emanuel P Arthur,5.18E+15,899,24-Aug,Lochristi
Curtis O Acosta,6.01E+15,834,26-Nov,Lille
Gaston Z Dial,3.67E+13,670,12-Oct,Lier
Alice J Baker,3.57E+15,515,17-Jan,LiÌ¬ge
Dave X Augustin,3.63E+13,336,17-Apr,Leuven
Kathleen U Jacobs,3.58E+15,228,30-Dec,Lessines
Maurice Nance,4.87E+15,952,Jun-31,Lede
Ray A Stanton,3.04E+13,994,13-Feb,Lebbeke
Kaila L Mckeehan,5.22E+15,834,23-Sep,Lanaken
Annette Z Monroe,6.01E+15,737,30-Nov,La LouviÌ¬re
Marla Nunley,5.46E+15,966,20-May,Kortrijk
Lillian Z Jones,3.55E+15,987,19-Jan,Kortenberg
Hobert C Snider,4.07E+15,974,10-Apr,Kontich
Jeffrey Hansen,3.57E+15,828,19-May,Koksijde
Earlene P Truett,3.57E+15,604,11-Aug,Knokke-Heist
Judith M Goodman,4.20E+15,892,Nov-33,Kasterlee
Eugene Mayhew,3.53E+15,276,Dec-32,Kapellen
Lorraine C Juarez,4.52E+15,194,16-Sep,Kalmthout
Chas Zimmerman,3.09E+13,408,19-Aug,Izegem
Lewis V Burt,5.16E+15,873,21-Jul,Ieper
Jack A Thorson,5.18E+15,672,19-Oct,Huy
Janice D Ortega,4.50E+15,255,27-Aug,Houthalen
Leota I Sparkman,3.57E+15,189,24-Mar,Hoogstraten
Dustin Kent,4.19E+15,305,15-Sep,Hoboken
Fiona R Benz,4.76E+15,630,11-May,Heusden
Larry H Hardy,6.59E+15,286,Nov-36,Herzele
Holley L Frith,6.59E+15,0,22-Jan,Herve
Marie Scott,5.48E+15,571,Nov-37,Herstal
Tom Collette,3.79E+14,2459,26-Dec,Herentals
Henry A Thornton,3.56E+15,607,12-Aug,Herent
Nannie W Zendejas,3.06E+13,304,21-Dec,Helchteren
Jonathan L Melendez,3.59E+15,6,25-Mar,Heist-op-den-Berg
Woodrow K Dalrymple,5.48E+15,167,17-Jun,Hasselt
Loretta K Butler,3.06E+13,296,May-32,Harelbeke
David D Kinder,6.01E+15,472,Oct-34,Hamme
